"place_id","category","full_name","address","latitude","longitude","photos","activities","parking","restaurant","shower","camping","beach_surveillance"
"ChIJS22dkgnTE0gRan3MQqtjJAY","Plaisance","Port de Trébeurden","Bureau du Port - Isthme du Castel, 22560 Trébeurden, France","48.769676","-3.5848112","https://res.cloudinary.com/hugs/image/upload/v1654592809/wits/s7yqykgl7egx11luskbo.jpg||https://res.cloudinary.com/hugs/image/upload/v1654592812/wits/dovfhvkbizsya2lvogqi.jpg||https://res.cloudinary.com/hugs/image/upload/v1654592823/wits/ojp0vzhefqk6d7r3e8vl.jpg","Catamaran||Jetski","true","true","false","false","false"
"ChIJd0vQbPfSE0gR5mbQ_BgxYCg","Plaisance","Port Saint Sauveur","Rue du Port, 22560 Pleumeur-Bodou, France","48.7953474","-3.5857685","https://res.cloudinary.com/hugs/image/upload/v1654592914/wits/u9xshxg9tdbyeucyviej.jpg||https://res.cloudinary.com/hugs/image/upload/v1654592918/wits/mkxyamzuy18gvqmqcxpi.jpg||https://res.cloudinary.com/hugs/image/upload/v1654592920/wits/owxmejkngalyr0fvesse.jpg","Catamaran||Jetski","true","true","false","false","false"
"ChIJbZU75PjVE0gRm1fSU8Js-OM","Plaisance","Port de Saint-Michel en Grève","Unnamed Road, 22300, Trédrez-Locquémeau, France","48.685329","-3.5677586","https://res.cloudinary.com/hugs/image/upload/v1654593477/wits/bnmzajadtedmgbpqpdbd.jpg||https://res.cloudinary.com/hugs/image/upload/v1654593482/wits/wdcrh5lyxlgqvnj5nlwt.jpg||https://res.cloudinary.com/hugs/image/upload/v1654593487/wits/jnpoovh07hw4nvsorrpn.jpg","Catamaran||Jetski","true","true","false","false","false"
